r,t,f,y,ProductionByTechnologyAnnual
"Greece","ALELGRBPO","ALEL",2019,0
"Greece","ALELGRBPO","ALEL",2020,0
"Greece","ALELGRBPO","ALEL",2021,0
"Greece","ALELGRBPO","ALEL",2022,0
"Greece","ALELGRBPO","ALEL",2023,0
"Greece","ALELGRBPO","ALEL",2024,0
"Greece","ALELGRBPO","ALEL",2025,0
"Greece","ALELGRBPO","ALEL",2026,0
"Greece","ALELGRBPO","ALEL",2027,0
"Greece","ALELGRBPO","ALEL",2028,0
"Greece","ALELGRBPO","ALEL",2029,0
"Greece","ALELGRBPO","ALEL",2030,0
"Greece","ALELGRBPO","ALEL",2031,0
"Greece","ALELGRBPO","ALEL",2032,0
"Greece","ALELGRBPO","ALEL",2033,0
"Greece","ALELGRBPO","ALEL",2034,0
"Greece","ALELGRBPO","ALEL",2035,0
"Greece","ALELGRBPO","ALEL",2036,0
"Greece","ALELGRBPO","ALEL",2037,0
"Greece","ALELGRBPO","ALEL",2038,0
"Greece","ALELGRBPO","ALEL",2039,0
"Greece","ALELGRBPO","ALEL",2040,0
"Greece","ALELGRBPO","ALEL",2041,0
"Greece","ALELGRBPO","ALEL",2042,0
"Greece","ALELGRBPO","ALEL",2043,0
"Greece","ALELGRBPO","ALEL",2044,0
"Greece","ALELGRBPO","ALEL",2045,0
"Greece","ALELGRBPO","ALEL",2046,0
"Greece","ALELGRBPO","ALEL",2047,0
"Greece","ALELGRBPO","ALEL",2048,0
"Greece","ALELGRBPO","ALEL",2049,0
"Greece","ALELGRBPO","ALEL",2050,0
"Greece","ALELGRBPO","ELDISFIN",2019,0
"Greece","ALELGRBPO","ELDISFIN",2020,0
"Greece","ALELGRBPO","ELDISFIN",2021,0
"Greece","ALELGRBPO","ELDISFIN",2022,0
"Greece","ALELGRBPO","ELDISFIN",2023,0
"Greece","ALELGRBPO","ELDISFIN",2024,0
"Greece","ALELGRBPO","ELDISFIN",2025,0
"Greece","ALELGRBPO","ELDISFIN",2026,0
"Greece","ALELGRBPO","ELDISFIN",2027,0
"Greece","ALELGRBPO","ELDISFIN",2028,0
"Greece","ALELGRBPO","ELDISFIN",2029,0
"Greece","ALELGRBPO","ELDISFIN",2030,0
"Greece","ALELGRBPO","ELDISFIN",2031,0
"Greece","ALELGRBPO","ELDISFIN",2032,0
"Greece","ALELGRBPO","ELDISFIN",2033,0
"Greece","ALELGRBPO","ELDISFIN",2034,0
"Greece","ALELGRBPO","ELDISFIN",2035,0
"Greece","ALELGRBPO","ELDISFIN",2036,0
"Greece","ALELGRBPO","ELDISFIN",2037,0
"Greece","ALELGRBPO","ELDISFIN",2038,0
"Greece","ALELGRBPO","ELDISFIN",2039,0
"Greece","ALELGRBPO","ELDISFIN",2040,0
"Greece","ALELGRBPO","ELDISFIN",2041,0
"Greece","ALELGRBPO","ELDISFIN",2042,0
"Greece","ALELGRBPO","ELDISFIN",2043,0
"Greece","ALELGRBPO","ELDISFIN",2044,0
"Greece","ALELGRBPO","ELDISFIN",2045,0
"Greece","ALELGRBPO","ELDISFIN",2046,0
"Greece","ALELGRBPO","ELDISFIN",2047,0
"Greece","ALELGRBPO","ELDISFIN",2048,0
"Greece","ALELGRBPO","ELDISFIN",2049,0
"Greece","ALELGRBPO","ELDISFIN",2050,0
"Greece","ALELGRBPO","ELPOWTRANS",2019,30.048
"Greece","ALELGRBPO","ELPOWTRANS",2020,30.144
"Greece","ALELGRBPO","ELPOWTRANS",2021,30.528
"Greece","ALELGRBPO","ELPOWTRANS",2022,31.008
"Greece","ALELGRBPO","ELPOWTRANS",2023,31.392
"Greece","ALELGRBPO","ELPOWTRANS",2024,31.776
"Greece","ALELGRBPO","ELPOWTRANS",2025,32.256
"Greece","ALELGRBPO","ELPOWTRANS",2026,27.744
"Greece","ALELGRBPO","ELPOWTRANS",2027,23.232
"Greece","ALELGRBPO","ELPOWTRANS",2028,18.816
"Greece","ALELGRBPO","ELPOWTRANS",2029,14.304
"Greece","ALELGRBPO","ELPOWTRANS",2030,9.888
"Greece","ALELGRBPO","ELPOWTRANS",2031,9.408
