r,t,y,AnnualVariableOperatingCost
"Greece","ALELGRBPO",2019,716.77
"Greece","ALELGRBPO",2020,728.48
"Greece","ALELGRBPO",2021,744.12
"Greece","ALELGRBPO",2022,762.279999999998
"Greece","ALELGRBPO",2023,778.26
"Greece","ALELGRBPO",2024,791.09
"Greece","ALELGRBPO",2025,809.76
"Greece","ALELGRBPO",2026,702.27
"Greece","ALELGRBPO",2027,592.9
"Greece","ALELGRBPO",2028,486.08
"Greece","ALELGRBPO",2029,372.5
"Greece","ALELGRBPO",2030,259.56
"Greece","ALELGRBPO",2031,246.96
"Greece","ALELGRBPO",2032,236.88
"Greece","ALELGRBPO",2033,224.28
"Greece","ALELGRBPO",2034,214.2
"Greece","ALELGRBPO",2035,204.12
"Greece","ALELGRBPO",2036,165.810341733333
"Greece","ALELGRBPO",2037,137.298933966667
"Greece","ALELGRBPO",2038,120.64878780479
"Greece","ALELGRBPO",2039,116.870944215744
"Greece","ALELGRBPO",2040,114.178383041633
"Greece","ALELGRBPO",2041,114.670797932937
"Greece","ALELGRBPO",2042,120.914490499887
"Greece","ALELGRBPO",2043,128.998729630322
"Greece","ALELGRBPO",2044,149.209327456409
"Greece","ALELGRBPO",2045,157.910404102871
"Greece","ALELGRBPO",2046,143.471480233334
"Greece","ALELGRBPO",2047,152.179560630532
"Greece","ALELGRBPO",2048,164.401028021836
"Greece","ALELGRBPO",2049,253.670099617027
"Greece","ALELGRBPO",2050,261.159663932222
"Greece","BATT",2019,0
"Greece","BATT",2020,0
"Greece","BATT",2021,0
"Greece","BATT",2022,0
"Greece","BATT",2023,0
"Greece","BATT",2024,0
"Greece","BATT",2025,0
"Greece","BATT",2026,0
"Greece","BATT",2027,0
"Greece","BATT",2028,0
"Greece","BATT",2029,0
"Greece","BATT",2030,0
"Greece","BATT",2031,0
"Greece","BATT",2032,0
"Greece","BATT",2033,0
"Greece","BATT",2034,0
"Greece","BATT",2035,0
"Greece","BATT",2036,0
"Greece","BATT",2037,0
"Greece","BATT",2038,0
"Greece","BATT",2039,0
"Greece","BATT",2040,0
"Greece","BATT",2041,0
"Greece","BATT",2042,0
"Greece","BATT",2043,0
"Greece","BATT",2044,0
"Greece","BATT",2045,0
"Greece","BATT",2046,0
"Greece","BATT",2047,0
"Greece","BATT",2048,0
"Greece","BATT",2049,0
"Greece","BATT",2050,0
"Greece","GEOPWR_H",2019,0
"Greece","GEOPWR_H",2020,0
"Greece","GEOPWR_H",2021,0
"Greece","GEOPWR_H",2022,0
"Greece","GEOPWR_H",2023,0
"Greece","GEOPWR_H",2024,0
"Greece","GEOPWR_H",2025,0
"Greece","GEOPWR_H",2026,0
"Greece","GEOPWR_H",2027,0
"Greece","GEOPWR_H",2028,0
"Greece","GEOPWR_H",2029,0
"Greece","GEOPWR_H",2030,0
"Greece","GEOPWR_H",2031,0
"Greece","GEOPWR_H",2032,0
"Greece","GEOPWR_H",2033,0
"Greece","GEOPWR_H",2034,0
"Greece","GEOPWR_H",2035,0.228848395408696
"Greece","GEOPWR_H",2036,0.449577216
"Greece","GEOPWR_H",2037,0.449577216
"Greece","GEOPWR_H",2038,0.449577216
"Greece","GEOPWR_H",2039,0.449577216
"Greece","GEOPWR_H",2040,0.449577216
"Greece","GEOPWR_H",2041,0.449577216
"Greece","GEOPWR_H",2042,0.449577216
"Greece","GEOPWR_H",2043,0.449577216000001
"Greece","GEOPWR_H",2044,0.449577216
"Greece","GEOPWR_H",2045,0.449577216
"Greece","GEOPWR_H",2046,0.449577216
"Greece","GEOPWR_H",2047,0.449577216
"Greece","GEOPWR_H",2048,0.449577216
"Greece","GEOPWR_H",2049,0.449577216
"Greece","GEOPWR_H",2050,0.449577216
"Greece","GEOPWR_M",2019,0
"Greece","GEOPWR_M",2020,0
"Greece","GEOPWR_M",2021,0
"Greece","GEOPWR_M",2022,0
"Greece","GEOPWR_M",2023,0
"Greece","GEOPWR_M",2024,0
"Greece","GEOPWR_M",2025,0
"Greece","GEOPWR_M",2026,0
"Greece","GEOPWR_M",2027,0
"Greece","GEOPWR_M",2028,0
"Greece","GEOPWR_M",2029,0
"Greece","GEOPWR_M",2030,0
"Greece","GEOPWR_M",2031,0
"Greece","GEOPWR_M",2032,0
"Greece","GEOPWR_M",2033,0
"Greece","GEOPWR_M",2034,0
"Greece","GEOPWR_M",2035,0
"Greece","GEOPWR_M",2036,0
"Greece","GEOPWR_M",2037,0
"Greece","GEOPWR_M",2038,0
"Greece","GEOPWR_M",2039,0
"Greece","GEOPWR_M",2040,0
"Greece","GEOPWR_M",2041,0
"Greece","GEOPWR_M",2042,0
"Greece","GEOPWR_M",2043,0
"Greece","GEOPWR_M",2044,0
"Greece","GEOPWR_M",2045,0
"Greece","GEOPWR_M",2046,0.53829604059598
"Greece","GEOPWR_M",2047,0.53829604059598
"Greece","GEOPWR_M",2048,0.53829604059598
"Greece","GEOPWR_M",2049,1.10026756059598
"Greece","GEOPWR_M",2050,1.12394304
"Greece","GRBM00I00",2019,0
"Greece","GRBM00I00",2020,0
"Greece","GRBM00I00",2021,0
"Greece","GRBM00I00",2022,0
"Greece","GRBM00I00",2023,0
"Greece","GRBM00I00",2024,0
"Greece","GRBM00I00",2025,0
"Greece","GRBM00I00",2026,0
"Greece","GRBM00I00",2027,0
"Greece","GRBM00I00",2028,0
"Greece","GRBM00I00",2029,0
"Greece","GRBM00I00",2030,0
"Greece","GRBM00I00",2031,0
"Greece","GRBM00I00",2032,0
"Greece","GRBM00I00",2033,0
"Greece","GRBM00I00",2034,0
"Greece","GRBM00I00",2035,0
"Greece","GRBM00I00",2036,18.0488391250561
"Greece","GRBM00I00",2037,21.696611112052
"Greece","GRBM00I00",2038,20.6667384907447
"Greece","GRBM00I00",2039,23.2370910229048
"Greece","GRBM00I00",2040,23.921026433265
"Greece","GRBM00I00",2041,24.0642661125061
"Greece","GRBM00I00",2042,24.1588685590275
"Greece","GRBM00I00",2043,21.1732967767293
"Greece","GRBM00I00",2044,20.6186613531682
"Greece","GRBM00I00",2045,17.9680005139548
"Greece","GRBM00I00",2046,12.9097549467477
"Greece","GRBM00I00",2047,11.6619304845662
"Greece","GRBM00I00",2048,11.7294706225077
"Greece","GRBM00I00",2049,24.9714507476997
"Greece","GRBM00I00",2050,32.1390637429324
"Greece","GRBM00X00",2019,12.1531013805865
"Greece","GRBM00X00",2020,13.5766493835224
"Greece","GRBM00X00",2021,14.9778751283885
"Greece","GRBM00X00",2022,44.7597277940736
"Greece","GRBM00X00",2023,74.0495906911729
"Greece","GRBM00X00",2024,102.546653390375
"Greece","GRBM00X00",2025,101.765374357934
"Greece","GRBM00X00",2026,100.976534560662
"Greece","GRBM00X00",2027,100.18013399856
"Greece","GRBM00X00",2028,99.046019274048
"Greece","GRBM00X00",2029,98.2382775647011
"Greece","GRBM00X00",2030,92.70990618624
"Greece","GRBM00X00",2031,85.008542507382
"Greece","GRBM00X00",2032,67.2168488258003
"Greece","GRBM00X00",2033,63.4722240346056
"Greece","GRBM00X00",2034,67.0628095546977
"Greece","GRBM00X00",2035,58.527863999528
"Greece","GRBM00X00",2036,172.25
"Greece","GRBM00X00",2037,169.52
"Greece","GRBM00X00",2038,170.56
"Greece","GRBM00X00",2039,171.08
"Greece","GRBM00X00",2040,172.12
"Greece","GRBM00X00",2041,173.16
"Greece","GRBM00X00",2042,173.68
"Greece","GRBM00X00",2043,174.72
"Greece","GRBM00X00",2044,175.24
"Greece","GRBM00X00",2045,176.28
"Greece","GRBM00X00",2046,176.8
"Greece","GRBM00X00",2047,177.84
"Greece","GRBM00X00",2048,178.88
"Greece","GRBM00X00",2049,179.4
"Greece","GRBM00X00",2050,180.44
"Greece","GRCO00I00",2019,0
"Greece","GRCO00I00",2020,0
"Greece","GRCO00I00",2021,95.3802882132557
"Greece","GRCO00I00",2022,101.176880314614
"Greece","GRCO00I00",2023,0
"Greece","GRCO00I00",2024,0
"Greece","GRCO00I00",2025,0
"Greece","GRCO00I00",2026,0
"Greece","GRCO00I00",2027,0
"Greece","GRCO00I00",2028,0
"Greece","GRCO00I00",2029,0
"Greece","GRCO00I00",2030,0
"Greece","GRCO00I00",2031,0
"Greece","GRCO00I00",2032,0
"Greece","GRCO00I00",2033,0
"Greece","GRCO00I00",2034,0
"Greece","GRCO00I00",2035,0
"Greece","GRCO00I00",2036,0
"Greece","GRCO00I00",2037,0
"Greece","GRCO00I00",2038,0
"Greece","GRCO00I00",2039,0
"Greece","GRCO00I00",2040,0
"Greece","GRCO00I00",2041,0
"Greece","GRCO00I00",2042,0
"Greece","GRCO00I00",2043,0
"Greece","GRCO00I00",2044,0
"Greece","GRCO00I00",2045,0
"Greece","GRCO00I00",2046,0
"Greece","GRCO00I00",2047,0
"Greece","GRCO00I00",2048,0
"Greece","GRCO00I00",2049,0
"Greece","GRCO00I00",2050,0
"Greece","GRCO00X00",2019,96.012661118473
"Greece","GRCO00X00",2020,48.9410310712243
"Greece","GRCO00X00",2021,77.826
"Greece","GRCO00X00",2022,83.058
"Greece","GRCO00X00",2023,48.3295947088529
"Greece","GRCO00X00",2024,4.17920629143243
"Greece","GRCO00X00",2025,0
"Greece","GRCO00X00",2026,0
"Greece","GRCO00X00",2027,0
"Greece","GRCO00X00",2028,0
"Greece","GRCO00X00",2029,0
"Greece","GRCO00X00",2030,0
"Greece","GRCO00X00",2031,0
"Greece","GRCO00X00",2032,0
"Greece","GRCO00X00",2033,0
"Greece","GRCO00X00",2034,0
"Greece","GRCO00X00",2035,0
"Greece","GRCO00X00",2036,0
"Greece","GRCO00X00",2037,0
"Greece","GRCO00X00",2038,0
"Greece","GRCO00X00",2039,0
"Greece","GRCO00X00",2040,0
"Greece","GRCO00X00",2041,0
"Greece","GRCO00X00",2042,0
"Greece","GRCO00X00",2043,0
"Greece","GRCO00X00",2044,0
"Greece","GRCO00X00",2045,0
"Greece","GRCO00X00",2046,0
"Greece","GRCO00X00",2047,0
"Greece","GRCO00X00",2048,0
"Greece","GRCO00X00",2049,0
"Greece","GRCO00X00",2050,0
"Greece","GRELALBP0",2019,-202.03
"Greece","GRELALBP0",2020,-204.7
"Greece","GRELALBP0",2021,-208.8
"Greece","GRELALBP0",2022,-212.94
"Greece","GRELALBP0",2023,-219.48
"Greece","GRELALBP0",2024,-222.78
"Greece","GRELALBP0",2025,-227.05
"Greece","GRELALBP0",2026,-197.62
"Greece","GRELALBP0",2027,-167.67
"Greece","GRELALBP0",2028,-137.76
"Greece","GRELALBP0",2029,-104.16
"Greece","GRELALBP0",2030,-72.5
"Greece","GRELALBP0",2031,-70
"Greece","GRELALBP0",2032,-67.5
"Greece","GRELALBP0",2033,-62.5
"Greece","GRELALBP0",2034,-60
"Greece","GRELALBP0",2035,-57.5
"Greece","GRELALBP0",2036,-1481.32880915399
"Greece","GRELALBP0",2037,-1761.63997433297
"Greece","GRELALBP0",2038,-1975.47821026534
"Greece","GRELALBP0",2039,-2131.70196435932
"Greece","GRELALBP0",2040,-2278.02263456708
"Greece","GRELALBP0",2041,-2397.56486156633
"Greece","GRELALBP0",2042,-2470.69754638605
"Greece","GRELALBP0",2043,-2513.69452106605
"Greece","GRELALBP0",2044,-2490.45009414605
"Greece","GRELALBP0",2045,-2535.76399002141
"Greece","GRELALBP0",2046,-2681.72083130108
"Greece","GRELALBP0",2047,-2727.88865347765
"Greece","GRELALBP0",2048,-2743.81917179939
"Greece","GRELALBP0",2049,-2173.61644880091
"Greece","GRELALBP0",2050,-2199.38650561479
"Greece","GRHF00I00",2019,99.86372
"Greece","GRHF00I00",2020,85.57446
"Greece","GRHF00I00",2021,133.914
"Greece","GRHF00I00",2022,135.98358
"Greece","GRHF00I00",2023,126.96264
"Greece","GRHF00I00",2024,115.73305
"Greece","GRHF00I00",2025,105.92859
"Greece","GRHF00I00",2026,93.21949
"Greece","GRHF00I00",2027,82.6734
"Greece","GRHF00I00",2028,57.79635
"Greece","GRHF00I00",2029,33.56692
"Greece","GRHF00I00",2030,10.38216
"Greece","GRHF00I00",2031,0
"Greece","GRHF00I00",2032,0
"Greece","GRHF00I00",2033,0
"Greece","GRHF00I00",2034,0
"Greece","GRHF00I00",2035,0
"Greece","GRHF00I00",2036,0
"Greece","GRHF00I00",2037,0
"Greece","GRHF00I00",2038,0
"Greece","GRHF00I00",2039,0
"Greece","GRHF00I00",2040,0
"Greece","GRHF00I00",2041,0
"Greece","GRHF00I00",2042,0
"Greece","GRHF00I00",2043,0
"Greece","GRHF00I00",2044,0
"Greece","GRHF00I00",2045,0
"Greece","GRHF00I00",2046,0
"Greece","GRHF00I00",2047,0
"Greece","GRHF00I00",2048,0
"Greece","GRHF00I00",2049,0
"Greece","GRHF00I00",2050,0
"Greece","GRMBACKSTOP",2019,228886.374993408
"Greece","GRMBACKSTOP",2020,243095.984930304
"Greece","GRMBACKSTOP",2021,256316.724804096
"Greece","GRMBACKSTOP",2022,0
"Greece","GRMBACKSTOP",2023,0
"Greece","GRMBACKSTOP",2024,0
"Greece","GRMBACKSTOP",2025,0
"Greece","GRMBACKSTOP",2026,0
"Greece","GRMBACKSTOP",2027,0
"Greece","GRMBACKSTOP",2028,0
