r,t,y,AnnualVariableOperatingCost
"Greece","ALELGRBPO",2019,1427.28
"Greece","ALELGRBPO",2020,1453.82
"Greece","ALELGRBPO",2021,1485.06
"Greece","ALELGRBPO",2022,1521.33
"Greece","ALELGRBPO",2023,1549.98
"Greece","ALELGRBPO",2024,1582.18
"Greece","ALELGRBPO",2025,1619.52
"Greece","ALELGRBPO",2026,1404.54
"Greece","ALELGRBPO",2027,1185.8
"Greece","ALELGRBPO",2028,968.24
"Greece","ALELGRBPO",2029,742.02
"Greece","ALELGRBPO",2030,518.09
"Greece","ALELGRBPO",2031,492.94
"Greece","ALELGRBPO",2032,472.82
"Greece","ALELGRBPO",2033,447.67
"Greece","ALELGRBPO",2034,427.55
"Greece","ALELGRBPO",2035,407.43
"Greece","ALELGRBPO",2036,383.04
"Greece","ALELGRBPO",2037,363.6
"Greece","ALELGRBPO",2038,339.02
"Greece","ALELGRBPO",2039,319.41
"Greece","ALELGRBPO",2040,294.06
"Greece","ALELGRBPO",2041,289.56
"Greece","ALELGRBPO",2042,290.13
"Greece","ALELGRBPO",2043,285.04
"Greece","ALELGRBPO",2044,280.5
"Greece","ALELGRBPO",2045,275.4
"Greece","ALELGRBPO",2046,276.48
"Greece","ALELGRBPO",2047,282.15
"Greece","ALELGRBPO",2048,282.7
"Greece","ALELGRBPO",2049,283.25
"Greece","ALELGRBPO",2050,283.8
"Greece","BATT",2019,0
"Greece","BATT",2020,0
"Greece","BATT",2021,0
"Greece","BATT",2022,0
"Greece","BATT",2023,0
"Greece","BATT",2024,0
"Greece","BATT",2025,0
"Greece","BATT",2026,0
"Greece","BATT",2027,0
"Greece","BATT",2028,0
"Greece","BATT",2029,0
"Greece","BATT",2030,0
"Greece","BATT",2031,0
"Greece","BATT",2032,0
"Greece","BATT",2033,0
"Greece","BATT",2034,0
"Greece","BATT",2035,0
"Greece","BATT",2036,0
"Greece","BATT",2037,0
"Greece","BATT",2038,0
"Greece","BATT",2039,0
"Greece","BATT",2040,0
"Greece","BATT",2041,0
"Greece","BATT",2042,0
"Greece","BATT",2043,0
"Greece","BATT",2044,0
"Greece","BATT",2045,0
"Greece","BATT",2046,0
"Greece","BATT",2047,0
"Greece","BATT",2048,0
"Greece","BATT",2049,0
"Greece","BATT",2050,0
"Greece","GEOPWR_H",2019,0
"Greece","GEOPWR_H",2020,0
"Greece","GEOPWR_H",2021,0
"Greece","GEOPWR_H",2022,0
"Greece","GEOPWR_H",2023,0
"Greece","GEOPWR_H",2024,0
"Greece","GEOPWR_H",2025,0
"Greece","GEOPWR_H",2026,0
"Greece","GEOPWR_H",2027,0
"Greece","GEOPWR_H",2028,0
"Greece","GEOPWR_H",2029,0
"Greece","GEOPWR_H",2030,0
"Greece","GEOPWR_H",2031,0
"Greece","GEOPWR_H",2032,0
"Greece","GEOPWR_H",2033,0
"Greece","GEOPWR_H",2034,0
"Greece","GEOPWR_H",2035,0.288611453464445
"Greece","GEOPWR_H",2036,0.26471238783332
"Greece","GEOPWR_H",2037,0.253484004095851
"Greece","GEOPWR_H",2038,0.239284077091044
"Greece","GEOPWR_H",2039,0.23715072
"Greece","GEOPWR_H",2040,0.23715072
"Greece","GEOPWR_H",2041,0.239634866114898
"Greece","GEOPWR_H",2042,0.247882547076115
"Greece","GEOPWR_H",2043,0.248002214353864
"Greece","GEOPWR_H",2044,0.264320538620455
"Greece","GEOPWR_H",2045,0.259726491663934
"Greece","GEOPWR_H",2046,0.259873816881325
"Greece","GEOPWR_H",2047,0.228884428813198
"Greece","GEOPWR_H",2048,0.21192192
"Greece","GEOPWR_H",2049,0.287366790044718
"Greece","GEOPWR_H",2050,0.287534029115818
"Greece","GEOPWR_M",2019,0
"Greece","GEOPWR_M",2020,0
"Greece","GEOPWR_M",2021,0
"Greece","GEOPWR_M",2022,0
"Greece","GEOPWR_M",2023,0
"Greece","GEOPWR_M",2024,0
"Greece","GEOPWR_M",2025,0
"Greece","GEOPWR_M",2026,0
"Greece","GEOPWR_M",2027,0
"Greece","GEOPWR_M",2028,0
"Greece","GEOPWR_M",2029,0
"Greece","GEOPWR_M",2030,0
"Greece","GEOPWR_M",2031,0
