r,l,f,y,Demand
"Greece","S01D1B1","ALEL",2019,0
"Greece","S01D1B1","ALEL",2020,0
"Greece","S01D1B1","ALEL",2021,0
"Greece","S01D1B1","ALEL",2022,0
"Greece","S01D1B1","ALEL",2023,0
"Greece","S01D1B1","ALEL",2024,0
"Greece","S01D1B1","ALEL",2025,0
"Greece","S01D1B1","ALEL",2026,0
"Greece","S01D1B1","ALEL",2027,0
"Greece","S01D1B1","ALEL",2028,0
"Greece","S01D1B1","ALEL",2029,0
"Greece","S01D1B1","ALEL",2030,0
"Greece","S01D1B1","ALEL",2031,0
"Greece","S01D1B1","ALEL",2032,0
"Greece","S01D1B1","ALEL",2033,0
"Greece","S01D1B1","ALEL",2034,0
"Greece","S01D1B1","ALEL",2035,0
"Greece","S01D1B1","ALEL",2036,0
"Greece","S01D1B1","ALEL",2037,0
"Greece","S01D1B1","ALEL",2038,0
"Greece","S01D1B1","ALEL",2039,0
"Greece","S01D1B1","ALEL",2040,0
"Greece","S01D1B1","ALEL",2041,0
"Greece","S01D1B1","ALEL",2042,0
"Greece","S01D1B1","ALEL",2043,0
"Greece","S01D1B1","ALEL",2044,0
"Greece","S01D1B1","ALEL",2045,0
"Greece","S01D1B1","ALEL",2046,0
"Greece","S01D1B1","ALEL",2047,0
"Greece","S01D1B1","ALEL",2048,0
"Greece","S01D1B1","ALEL",2049,0
"Greece","S01D1B1","ALEL",2050,0
"Greece","S01D1B1","ELDISFIN",2019,7.56
"Greece","S01D1B1","ELDISFIN",2020,7.64
"Greece","S01D1B1","ELDISFIN",2021,7.72
"Greece","S01D1B1","ELDISFIN",2022,7.84
"Greece","S01D1B1","ELDISFIN",2023,7.92
"Greece","S01D1B1","ELDISFIN",2024,8
"Greece","S01D1B1","ELDISFIN",2025,8.08
"Greece","S01D1B1","ELDISFIN",2026,8.16
"Greece","S01D1B1","ELDISFIN",2027,8.24
"Greece","S01D1B1","ELDISFIN",2028,8.32
"Greece","S01D1B1","ELDISFIN",2029,8.44
"Greece","S01D1B1","ELDISFIN",2030,8.52
"Greece","S01D1B1","ELDISFIN",2031,8.6
"Greece","S01D1B1","ELDISFIN",2032,8.68
"Greece","S01D1B1","ELDISFIN",2033,8.76
"Greece","S01D1B1","ELDISFIN",2034,8.88
"Greece","S01D1B1","ELDISFIN",2035,8.96
"Greece","S01D1B1","ELDISFIN",2036,9.04
"Greece","S01D1B1","ELDISFIN",2037,9.12
"Greece","S01D1B1","ELDISFIN",2038,9.24
"Greece","S01D1B1","ELDISFIN",2039,9.32
"Greece","S01D1B1","ELDISFIN",2040,9.4
"Greece","S01D1B1","ELDISFIN",2041,9.52
"Greece","S01D1B1","ELDISFIN",2042,9.6
"Greece","S01D1B1","ELDISFIN",2043,9.68
"Greece","S01D1B1","ELDISFIN",2044,9.88
"Greece","S01D1B1","ELDISFIN",2045,9.96
"Greece","S01D1B1","ELDISFIN",2046,10.04
"Greece","S01D1B1","ELDISFIN",2047,10.12
"Greece","S01D1B1","ELDISFIN",2048,10.24
"Greece","S01D1B1","ELDISFIN",2049,10.32
"Greece","S01D1B1","ELDISFIN",2050,10.4
"Greece","S01D1B1","ELPOWTRANS",2019,0
"Greece","S01D1B1","ELPOWTRANS",2020,0
"Greece","S01D1B1","ELPOWTRANS",2021,0
"Greece","S01D1B1","ELPOWTRANS",2022,0
"Greece","S01D1B1","ELPOWTRANS",2023,0
"Greece","S01D1B1","ELPOWTRANS",2024,0
"Greece","S01D1B1","ELPOWTRANS",2025,0
"Greece","S01D1B1","ELPOWTRANS",2026,0
"Greece","S01D1B1","ELPOWTRANS",2027,0
