r,t,e,y,AnnualTechnologyEmission
"Greece","ALELGRBPO","CO2",2019,0
"Greece","ALELGRBPO","CO2",2020,0
"Greece","ALELGRBPO","CO2",2021,0
"Greece","ALELGRBPO","CO2",2022,0
"Greece","ALELGRBPO","CO2",2023,0
"Greece","ALELGRBPO","CO2",2024,0
"Greece","ALELGRBPO","CO2",2025,0
"Greece","ALELGRBPO","CO2",2026,0
"Greece","ALELGRBPO","CO2",2027,0
"Greece","ALELGRBPO","CO2",2028,0
"Greece","ALELGRBPO","CO2",2029,0
"Greece","ALELGRBPO","CO2",2030,0
"Greece","ALELGRBPO","CO2",2031,0
"Greece","ALELGRBPO","CO2",2032,0
"Greece","ALELGRBPO","CO2",2033,0
"Greece","ALELGRBPO","CO2",2034,0
"Greece","ALELGRBPO","CO2",2035,0
"Greece","ALELGRBPO","CO2",2036,0
"Greece","ALELGRBPO","CO2",2037,0
"Greece","ALELGRBPO","CO2",2038,0
"Greece","ALELGRBPO","CO2",2039,0
"Greece","ALELGRBPO","CO2",2040,0
"Greece","ALELGRBPO","CO2",2041,0
"Greece","ALELGRBPO","CO2",2042,0
"Greece","ALELGRBPO","CO2",2043,0
"Greece","ALELGRBPO","CO2",2044,0
"Greece","ALELGRBPO","CO2",2045,0
"Greece","ALELGRBPO","CO2",2046,0
"Greece","ALELGRBPO","CO2",2047,0
"Greece","ALELGRBPO","CO2",2048,0
"Greece","ALELGRBPO","CO2",2049,0
"Greece","ALELGRBPO","CO2",2050,0
"Greece","ALELGRBPO","RETarget",2019,0
"Greece","ALELGRBPO","RETarget",2020,0
"Greece","ALELGRBPO","RETarget",2021,0
"Greece","ALELGRBPO","RETarget",2022,0
"Greece","ALELGRBPO","RETarget",2023,0
"Greece","ALELGRBPO","RETarget",2024,0
"Greece","ALELGRBPO","RETarget",2025,0
"Greece","ALELGRBPO","RETarget",2026,0
"Greece","ALELGRBPO","RETarget",2027,0
"Greece","ALELGRBPO","RETarget",2028,0
"Greece","ALELGRBPO","RETarget",2029,0
"Greece","ALELGRBPO","RETarget",2030,0
