r,t,y,AnnualVariableOperatingCost
"Greece","ALELGRBPO",2019,1427.28
"Greece","ALELGRBPO",2020,1453.82
"Greece","ALELGRBPO",2021,1485.06
"Greece","ALELGRBPO",2022,1521.33
"Greece","ALELGRBPO",2023,1549.98
"Greece","ALELGRBPO",2024,1582.18
"Greece","ALELGRBPO",2025,1619.52
"Greece","ALELGRBPO",2026,1404.54
"Greece","ALELGRBPO",2027,1185.8
"Greece","ALELGRBPO",2028,968.24
"Greece","ALELGRBPO",2029,742.02
"Greece","ALELGRBPO",2030,518.09
"Greece","ALELGRBPO",2031,492.94
"Greece","ALELGRBPO",2032,472.82
"Greece","ALELGRBPO",2033,447.67
"Greece","ALELGRBPO",2034,427.55
"Greece","ALELGRBPO",2035,407.43
"Greece","ALELGRBPO",2036,198.856873688991
"Greece","ALELGRBPO",2037,95.6406706338539
"Greece","ALELGRBPO",2038,59.6124366197245
"Greece","ALELGRBPO",2039,43.5331667323304
"Greece","ALELGRBPO",2040,40.8574374932002
"Greece","ALELGRBPO",2041,53.086992137531
"Greece","ALELGRBPO",2042,64.7177622064999
"Greece","ALELGRBPO",2043,76.2440303224417
"Greece","ALELGRBPO",2044,105.266104739237
"Greece","ALELGRBPO",2045,116.815017782715
"Greece","ALELGRBPO",2046,128.867318790217
"Greece","ALELGRBPO",2047,140.735860598317
"Greece","ALELGRBPO",2048,158.4694386383
"Greece","ALELGRBPO",2049,317.497458268518
"Greece","ALELGRBPO",2050,335.03541375966
"Greece","BATT",2019,0
"Greece","BATT",2020,0
"Greece","BATT",2021,0
"Greece","BATT",2022,0
"Greece","BATT",2023,0
"Greece","BATT",2024,0
"Greece","BATT",2025,0
"Greece","BATT",2026,0
"Greece","BATT",2027,0
"Greece","BATT",2028,0
"Greece","BATT",2029,0
"Greece","BATT",2030,0
"Greece","BATT",2031,0
"Greece","BATT",2032,0
"Greece","BATT",2033,0
"Greece","BATT",2034,0
"Greece","BATT",2035,0
"Greece","BATT",2036,0
"Greece","BATT",2037,0
"Greece","BATT",2038,0
"Greece","BATT",2039,0
"Greece","BATT",2040,0
"Greece","BATT",2041,0
"Greece","BATT",2042,0
"Greece","BATT",2043,0
"Greece","BATT",2044,0
"Greece","BATT",2045,0
"Greece","BATT",2046,0
"Greece","BATT",2047,0
"Greece","BATT",2048,0
"Greece","BATT",2049,0
"Greece","BATT",2050,0
"Greece","GEOPWR_H",2019,0
"Greece","GEOPWR_H",2020,0
"Greece","GEOPWR_H",2021,0
"Greece","GEOPWR_H",2022,0
"Greece","GEOPWR_H",2023,0
"Greece","GEOPWR_H",2024,0
"Greece","GEOPWR_H",2025,0
"Greece","GEOPWR_H",2026,0
"Greece","GEOPWR_H",2027,0
"Greece","GEOPWR_H",2028,0
"Greece","GEOPWR_H",2029,0
"Greece","GEOPWR_H",2030,0
"Greece","GEOPWR_H",2031,0
"Greece","GEOPWR_H",2032,0
"Greece","GEOPWR_H",2033,0
"Greece","GEOPWR_H",2034,0
"Greece","GEOPWR_H",2035,0
"Greece","GEOPWR_H",2036,0.449577216
"Greece","GEOPWR_H",2037,0.449577216
"Greece","GEOPWR_H",2038,0.449577216
"Greece","GEOPWR_H",2039,0.449577216
"Greece","GEOPWR_H",2040,0.449577216
"Greece","GEOPWR_H",2041,0.449577216
"Greece","GEOPWR_H",2042,0.449577216
"Greece","GEOPWR_H",2043,0.449577216
"Greece","GEOPWR_H",2044,0.449577216
"Greece","GEOPWR_H",2045,0.449577216
"Greece","GEOPWR_H",2046,0.449577216
"Greece","GEOPWR_H",2047,0.449577216
"Greece","GEOPWR_H",2048,0.449577216
"Greece","GEOPWR_H",2049,0.449577216
"Greece","GEOPWR_H",2050,0.449577216
"Greece","GEOPWR_M",2019,0
"Greece","GEOPWR_M",2020,0
"Greece","GEOPWR_M",2021,0
"Greece","GEOPWR_M",2022,0
"Greece","GEOPWR_M",2023,0
"Greece","GEOPWR_M",2024,0
"Greece","GEOPWR_M",2025,0
"Greece","GEOPWR_M",2026,0
"Greece","GEOPWR_M",2027,0
"Greece","GEOPWR_M",2028,0
"Greece","GEOPWR_M",2029,0
