r,t,y,AnnualFixedOperatingCost
"Greece","ALELGRBPO",2019,38.025
"Greece","ALELGRBPO",2020,37.65
"Greece","ALELGRBPO",2021,37.3
"Greece","ALELGRBPO",2022,36.925
"Greece","ALELGRBPO",2023,36.55
"Greece","ALELGRBPO",2024,36.2
"Greece","ALELGRBPO",2025,35.825
"Greece","ALELGRBPO",2026,35.45
"Greece","ALELGRBPO",2027,35.1
"Greece","ALELGRBPO",2028,34.725
"Greece","ALELGRBPO",2029,34.35
"Greece","ALELGRBPO",2030,34
"Greece","ALELGRBPO",2031,33.8
"Greece","ALELGRBPO",2032,33.6
"Greece","ALELGRBPO",2033,33.4
"Greece","ALELGRBPO",2034,33.2
"Greece","ALELGRBPO",2035,33
"Greece","ALELGRBPO",2036,32.8
"Greece","ALELGRBPO",2037,32.6
"Greece","ALELGRBPO",2038,32.4
"Greece","ALELGRBPO",2039,32.2
"Greece","ALELGRBPO",2040,32
"Greece","ALELGRBPO",2041,31.8
"Greece","ALELGRBPO",2042,31.6
"Greece","ALELGRBPO",2043,31.4
"Greece","ALELGRBPO",2044,31.2
"Greece","ALELGRBPO",2045,31
"Greece","ALELGRBPO",2046,30.8
"Greece","ALELGRBPO",2047,30.6
"Greece","ALELGRBPO",2048,30.4
"Greece","ALELGRBPO",2049,30.2
"Greece","ALELGRBPO",2050,30
"Greece","BATT",2019,0
"Greece","BATT",2020,0
"Greece","BATT",2021,0
"Greece","BATT",2022,0
"Greece","BATT",2023,0
"Greece","BATT",2024,0
"Greece","BATT",2025,0
"Greece","BATT",2026,0
"Greece","BATT",2027,0
"Greece","BATT",2028,0
"Greece","BATT",2029,0
"Greece","BATT",2030,0
"Greece","BATT",2031,0
"Greece","BATT",2032,0
"Greece","BATT",2033,0
"Greece","BATT",2034,0
"Greece","BATT",2035,0
"Greece","BATT",2036,0
"Greece","BATT",2037,0
"Greece","BATT",2038,0
"Greece","BATT",2039,0
"Greece","BATT",2040,0
"Greece","BATT",2041,0
"Greece","BATT",2042,0
"Greece","BATT",2043,0
"Greece","BATT",2044,0
"Greece","BATT",2045,0
"Greece","BATT",2046,0
"Greece","BATT",2047,0
"Greece","BATT",2048,0
"Greece","BATT",2049,0
"Greece","BATT",2050,0
"Greece","GEOPWR_H",2019,0
"Greece","GEOPWR_H",2020,0
"Greece","GEOPWR_H",2021,0
"Greece","GEOPWR_H",2022,0
"Greece","GEOPWR_H",2023,0
"Greece","GEOPWR_H",2024,0
"Greece","GEOPWR_H",2025,0
"Greece","GEOPWR_H",2026,0
"Greece","GEOPWR_H",2027,0
"Greece","GEOPWR_H",2028,0
"Greece","GEOPWR_H",2029,0
"Greece","GEOPWR_H",2030,0
"Greece","GEOPWR_H",2031,0
"Greece","GEOPWR_H",2032,0
"Greece","GEOPWR_H",2033,0
"Greece","GEOPWR_H",2034,0
"Greece","GEOPWR_H",2035,22.278
"Greece","GEOPWR_H",2036,22.392
"Greece","GEOPWR_H",2037,22.506
"Greece","GEOPWR_H",2038,22.62
"Greece","GEOPWR_H",2039,22.734
"Greece","GEOPWR_H",2040,22.848
"Greece","GEOPWR_H",2041,22.964
"Greece","GEOPWR_H",2042,23.078
"Greece","GEOPWR_H",2043,23.192
"Greece","GEOPWR_H",2044,23.306
"Greece","GEOPWR_H",2045,23.42
"Greece","GEOPWR_H",2046,23.534
"Greece","GEOPWR_H",2047,23.648
"Greece","GEOPWR_H",2048,23.7619999999999
"Greece","GEOPWR_H",2049,23.878
"Greece","GEOPWR_H",2050,23.992
"Greece","GEOPWR_M",2019,0
"Greece","GEOPWR_M",2020,0
"Greece","GEOPWR_M",2021,0
"Greece","GEOPWR_M",2022,0
"Greece","GEOPWR_M",2023,0
"Greece","GEOPWR_M",2024,0
"Greece","GEOPWR_M",2025,0
"Greece","GEOPWR_M",2026,0
"Greece","GEOPWR_M",2027,0
"Greece","GEOPWR_M",2028,0
"Greece","GEOPWR_M",2029,0
"Greece","GEOPWR_M",2030,0
"Greece","GEOPWR_M",2031,0
"Greece","GEOPWR_M",2032,0
"Greece","GEOPWR_M",2033,0
"Greece","GEOPWR_M",2034,0
"Greece","GEOPWR_M",2035,0
"Greece","GEOPWR_M",2036,0
"Greece","GEOPWR_M",2037,0
"Greece","GEOPWR_M",2038,0
"Greece","GEOPWR_M",2039,0
"Greece","GEOPWR_M",2040,0
"Greece","GEOPWR_M",2041,0
"Greece","GEOPWR_M",2042,0
"Greece","GEOPWR_M",2043,0
"Greece","GEOPWR_M",2044,0
"Greece","GEOPWR_M",2045,0
"Greece","GEOPWR_M",2046,24.6675646222214
"Greece","GEOPWR_M",2047,24.6675646222214
"Greece","GEOPWR_M",2048,24.6675646222214
"Greece","GEOPWR_M",2049,50.4200646222214
"Greece","GEOPWR_M",2050,51.505
"Greece","GRBM00I00",2019,0
"Greece","GRBM00I00",2020,0
"Greece","GRBM00I00",2021,0
"Greece","GRBM00I00",2022,0
"Greece","GRBM00I00",2023,0
"Greece","GRBM00I00",2024,0
"Greece","GRBM00I00",2025,0
"Greece","GRBM00I00",2026,0
"Greece","GRBM00I00",2027,0
"Greece","GRBM00I00",2028,0
"Greece","GRBM00I00",2029,0
"Greece","GRBM00I00",2030,0
"Greece","GRBM00I00",2031,0
"Greece","GRBM00I00",2032,0
"Greece","GRBM00I00",2033,0
"Greece","GRBM00I00",2034,0
"Greece","GRBM00I00",2035,0
"Greece","GRBM00I00",2036,0
"Greece","GRBM00I00",2037,0
"Greece","GRBM00I00",2038,0
"Greece","GRBM00I00",2039,0
"Greece","GRBM00I00",2040,0
"Greece","GRBM00I00",2041,0
"Greece","GRBM00I00",2042,0
"Greece","GRBM00I00",2043,0
"Greece","GRBM00I00",2044,0
"Greece","GRBM00I00",2045,0
"Greece","GRBM00I00",2046,0
"Greece","GRBM00I00",2047,0
"Greece","GRBM00I00",2048,0
"Greece","GRBM00I00",2049,0
"Greece","GRBM00I00",2050,0
"Greece","GRBM00X00",2019,0
"Greece","GRBM00X00",2020,0
"Greece","GRBM00X00",2021,0
"Greece","GRBM00X00",2022,0
"Greece","GRBM00X00",2023,0
"Greece","GRBM00X00",2024,0
"Greece","GRBM00X00",2025,0
"Greece","GRBM00X00",2026,0
"Greece","GRBM00X00",2027,0
"Greece","GRBM00X00",2028,0
"Greece","GRBM00X00",2029,0
"Greece","GRBM00X00",2030,0
"Greece","GRBM00X00",2031,0
"Greece","GRBM00X00",2032,0
"Greece","GRBM00X00",2033,0
"Greece","GRBM00X00",2034,0
"Greece","GRBM00X00",2035,0
"Greece","GRBM00X00",2036,0
"Greece","GRBM00X00",2037,0
"Greece","GRBM00X00",2038,0
"Greece","GRBM00X00",2039,0
"Greece","GRBM00X00",2040,0
"Greece","GRBM00X00",2041,0
"Greece","GRBM00X00",2042,0
"Greece","GRBM00X00",2043,0
"Greece","GRBM00X00",2044,0
"Greece","GRBM00X00",2045,0
"Greece","GRBM00X00",2046,0
"Greece","GRBM00X00",2047,0
"Greece","GRBM00X00",2048,0
